SITE,DATE,TIME,AMPM,SPECIES,COUNT,ANTLERED,YOUNG,
PM4,9/30/2016,5:16,PM,deer,1,0,0,
,,5:21,PM,deer,1,0,0,
,,5:22,PM,deer,1,0,0,
,,5:23,PM,deer,1,0,0,
,,5:24,PM,deer,1,0,0,
,,5:28,PM,deer,1,0,0,
,,5:29,PM,deer,1,0,0,
,,5:30,PM,deer,1,0,0,
,,5:31,PM,deer,2,0,0,
,,5:32,PM,deer,2,0,0,
,,5:33,PM,deer,2,0,0,
,,5:34,PM,deer,1,0,0,
,,5:35,PM,deer,1,0,0,
,,5:36,PM,deer,1,0,0,
,,5:37,PM,deer,1,0,0,
,,5:38,PM,deer,1,0,0,
,,5:39,PM,deer,2,0,0,
,,5:40,PM,deer,2,0,0,
,,5:41,PM,deer,2,0,0,
,,5:42,PM,deer,2,0,0,
,,5:43,PM,deer,1,0,0,
,,5:44,PM,deer,1,0,0,
,,8:35,PM,deer,1,0,0,
,,8:38,PM,deer,1,0,0,
,,8:44,PM,deer,1,0,0,
,,8:48,PM,deer,1,0,0,
,,8:49,PM,deer,1,0,0,
,,8:50,PM,deer,1,0,0,
,,11:47,PM,deer,1,0,0,
,,11:48,PM,deer,1,0,0,
,,11:49,PM,deer,1,0,0,
,10/1/2016,7:33,AM,deer,1,0,0,
,,7:34,AM,deer,1,0,0,
,,7:35,AM,deer,1,0,0,
,,7:37,AM,deer,1,0,0,
,,7:38,AM,deer,1,0,0,
,,7:39,AM,deer,1,0,0,
,,7:40,AM,deer,2,0,1,
,,7:41,AM,deer,2,0,1,
,,7:42,AM,deer,1,0,0,
,,7:43,AM,deer,1,0,1,
,,7:44,AM,deer,2,0,1,
,,7:46,AM,deer,1,0,0,
,,7:47,AM,deer,1,0,0,
,,7:48,AM,deer,1,0,1,
,,7:49,AM,deer,1,0,1,
,,7:50,AM,deer,1,0,1,
,,7:51,AM,deer,2,0,1,
,,7:52,AM,deer,2,0,0,
,,7:53,AM,deer,3,0,1,
,,7:54,AM,deer,2,0,0,
,,7:55,AM,deer,2,0,0,
,,7:56,AM,deer,2,0,0,
,,7:57,AM,deer,2,0,0,
,,7:58,AM,deer,2,0,0,
,,7:59,AM,deer,1,0,0,
,,8:51,AM,deer,1,0,0,
,,8:52,AM,deer,2,0,0,
,,8:53,AM,deer,1,0,0,
,,8:54,AM,deer,1,0,0,
,,8:57,AM,deer,1,0,0,
,,9:02,AM,deer,1,0,0,
,,9:06,AM,deer,1,0,0,
,,9:07,AM,deer,1,0,0,
,,1:53,PM,deer,1,0,1,
,,1:54,PM,deer,1,0,1,
,,1:55,PM,deer,1,0,1,
,,1:56,PM,deer,1,0,1,
